COD_DISBAR,BARRIOS,ANIO,LATITUD,LONGITUD,NRO_PERSONAS
134,PALOMERAS SURESTE,2018,4470708.716,445907.486,4663.0
134,PALOMERAS SURESTE,2019,4470708.716,445907.486,5013.0
135,PORTAZGO,2016,4471314.521,444982.7317,2358.0
135,PORTAZGO,2018,4471314.521,444982.7317,2562.0
135,PORTAZGO,2019,4471314.521,444982.7317,2760.0
136,NUMANCIA,2016,4472306.995,444116.7652,5471.0
136,NUMANCIA,2018,4472306.995,444116.7652,5994.0
136,NUMANCIA,2019,4472306.995,444116.7652,6419.0
141,PAVONES,2016,4472183.36,446353.3523,1731.0
141,PAVONES,2018,4472183.36,446353.3523,1816.0
141,PAVONES,2019,4472183.36,446353.3523,1884.0
142,HORCAJO,2016,4473295.298,446804.3855,1772.0
142,HORCAJO,2018,4473295.298,446804.3855,1825.0
142,HORCAJO,2019,4473295.298,446804.3855,1864.0
143,MARROQUINA,2016,4473543.376,445646.4672,7262.0
143,MARROQUINA,2018,4473543.376,445646.4672,7588.0
143,MARROQUINA,2019,4473543.376,445646.4672,7830.0
144,MEDIA LEGUA,2016,4473682.217,444272.189,4178.0
144,MEDIA LEGUA,2018,4473682.217,444272.189,4381.0
144,MEDIA LEGUA,2019,4473682.217,444272.189,4547.0
145,FONTARRÓN,2016,4472512.703,445115.9638,2628.0
145,FONTARRÓN,2018,4472512.703,445115.9638,2833.0
145,FONTARRÓN,2019,4472512.703,445115.9638,3005.0
146,VINATEROS,2016,4472936.191,445482.8128,3257.0
146,VINATEROS,2018,4472936.191,445482.8128,3493.0
146,VINATEROS,2019,4472936.191,445482.8128,3658.0
151,VENTAS,2016,4474850.803,445079.4926,8875.0
151,VENTAS,2018,4474850.803,445079.4926,9513.0
151,VENTAS,2019,4474850.803,445079.4926,10053.0
152,PUEBLO NUEVO,2016,4475266.901,446095.6831,10591.0
152,PUEBLO NUEVO,2018,4475266.901,446095.6831,11486.0
152,PUEBLO NUEVO,2019,4475266.901,446095.6831,12251.0
153,QUINTANA,2016,4476462.964,445289.7605,5616.0
153,QUINTANA,2018,4476462.964,445289.7605,6037.0
153,QUINTANA,2019,4476462.964,445289.7605,6372.0
154,CONCEPCIÓN,2016,4476721.345,444934.1577,6032.0
155,SAN PASCUAL,2016,4477117.637,444582.4,5746.0
155,SAN PASCUAL,2018,4477117.637,444582.4,6035.0
155,SAN PASCUAL,2019,4477117.637,444582.4,6157.0
156,SAN JUAN BAUTISTA,2016,4477988.461,444343.151,5352.0
156,SAN JUAN BAUTISTA,2018,4477988.461,444343.151,5569.0
156,SAN JUAN BAUTISTA,2019,4477988.461,444343.151,5710.0
157,COLINA,2016,4478807.34,444014.4325,2731.0
157,COLINA,2018,4478807.34,444014.4325,2903.0
157,COLINA,2019,4478807.34,444014.4325,3002.0
158,ATALAYA,2016,4479501.192,443626.7881,701.0
158,ATALAYA,2018,4479501.192,443626.7881,702.0
158,ATALAYA,2019,4479501.192,443626.7881,725.0
159,COSTILLARES,2016,4480877.84,443334.1197,9950.0
159,COSTILLARES,2018,4480877.84,443334.1197,10306.0
159,COSTILLARES,2019,4480877.84,443334.1197,10417.0
161,PALOMAS,2016,4478175.942,447754.9382,2850.0
161,PALOMAS,2018,4478175.942,447754.9382,2991.0
161,PALOMAS,2019,4478175.942,447754.9382,3066.0
162,PIOVERA,2016,4478532.529,446151.4886,6369.0
162,PIOVERA,2018,4478532.529,446151.4886,6799.0
162,PIOVERA,2019,4478532.529,446151.4886,6905.0
163,CANILLAS,2016,4479433.42,445426.2189,10396.0
163,CANILLAS,2018,4479433.42,445426.2189,11054.0
163,CANILLAS,2019,4479433.42,445426.2189,11398.0
164,PINAR DEL REY,2016,4480401.898,445152.0269,10752.0
164,PINAR DEL REY,2018,4480401.898,445152.0269,11405.0
164,PINAR DEL REY,2019,4480401.898,445152.0269,11947.0
165,APÓSTOL SANTIAGO,2016,4480844.351,444105.2521,3681.0
165,APÓSTOL SANTIAGO,2018,4480844.351,444105.2521,3901.0
165,APÓSTOL SANTIAGO,2019,4480844.351,444105.2521,4026.0
166,VALDEFUENTES,2016,4482753.289,446176.0779,20027.0
166,VALDEFUENTES,2018,4482753.289,446176.0779,22875.0
166,VALDEFUENTES,2019,4482753.289,446176.0779,24685.0
172,SAN CRISTÓBAL,2016,4465820.907,441533.8022,720.0
172,SAN CRISTÓBAL,2018,4465820.907,441533.8022,824.0
172,SAN CRISTÓBAL,2019,4465820.907,441533.8022,884.0
173,BUTARQUE,2016,4465394.096,442559.7779,2606.0
173,BUTARQUE,2018,4465394.096,442559.7779,2811.0
173,BUTARQUE,2019,4465394.096,442559.7779,2954.0
174,LOS ROSALES,2016,4467464.76,441536.5956,4255.0
174,LOS ROSALES,2018,4467464.76,441536.5956,4467.0
174,LOS ROSALES,2019,4467464.76,441536.5956,4649.0
175,LOS ÁNGELES,2016,4467482.211,440632.5318,3706.0
175,LOS ÁNGELES,2018,4467482.211,440632.5318,3925.0
175,LOS ÁNGELES,2019,4467482.211,440632.5318,4197.0
181,CASCO HISTÓRICO DE VALLECAS,2016,4466332.267,447496.1334,14860.0
181,CASCO HISTÓRICO DE VALLECAS,2018,4466332.267,447496.1334,3545.0
181,CASCO HISTÓRICO DE VALLECAS,2019,4466332.267,447496.1334,3778.0
182,SANTA EUGENIA,2016,4470494.392,448110.1432,4577.0
182,SANTA EUGENIA,2018,4470494.392,448110.1432,4819.0
182,SANTA EUGENIA,2019,4470494.392,448110.1432,4930.0
183,ENSANCHE DE VALLECAS,2018,4468601.207,448851.2322,12735.0
183,ENSANCHE DE VALLECAS,2019,4468601.207,448851.2322,13420.0
191,CASCO HISTÓRICO DE VICÁLVARO,2016,4471000.988,450789.392,10441.0
191,CASCO HISTÓRICO DE VICÁLVARO,2018,4471000.988,450789.392,3217.0
191,CASCO HISTÓRICO DE VICÁLVARO,2019,4471000.988,450789.392,3581.0
192,VALDEBERNARDO,2018,4471960.93,447585.5543,4091.0
192,VALDEBERNARDO,2019,4471960.93,447585.5543,4185.0
193,VALDERRIVAS,2018,4472194.558,448859.2798,5107.0
193,VALDERRIVAS,2019,4472194.558,448859.2798,5125.0
201,SIMANCAS,2016,4476263.737,446981.6721,5226.0
201,SIMANCAS,2018,4476263.737,446981.6721,5661.0
201,SIMANCAS,2019,4476263.737,446981.6721,6035.0
202,HELLÍN,2016,4475772.544,447680.4837,672.0
202,HELLÍN,2018,4475772.544,447680.4837,818.0
202,HELLÍN,2019,4475772.544,447680.4837,918.0
203,AMPOSTA,2016,4475241.334,447234.3454,585.0
203,AMPOSTA,2018,4475241.334,447234.3454,659.0
203,AMPOSTA,2019,4475241.334,447234.3454,744.0
204,ARCOS,2016,4474693.643,447607.4973,3007.0
204,ARCOS,2018,4474693.643,447607.4973,3347.0
204,ARCOS,2019,4474693.643,447607.4973,3526.0
205,ROSAS,2016,4475395.532,449590.4285,7856.0
205,ROSAS,2018,4475395.532,449590.4285,8156.0
205,ROSAS,2019,4475395.532,449590.4285,8403.0
206,REJAS,2016,4477317.169,451648.3991,5034.0
206,REJAS,2018,4477317.169,451648.3991,5489.0
206,REJAS,2019,4477317.169,451648.3991,5709.0
207,CANILLEJAS,2016,4477135.693,448224.083,4510.0
207,CANILLEJAS,2018,4477135.693,448224.083,4860.0
207,CANILLEJAS,2019,4477135.693,448224.083,5048.0
208,SALVADOR,2016,4477373.192,446491.5939,3975.0
211,ALAMEDA DE OSUNA,2016,4478581.448,449818.2184,7401.0
211,ALAMEDA DE OSUNA,2018,4478581.448,449818.2184,7621.0
211,ALAMEDA DE OSUNA,2019,4478581.448,449818.2184,7747.0
212,AEROPUERTO,2016,4481029.075,452237.8537,140.0
212,AEROPUERTO,2018,4481029.075,452237.8537,169.0
212,AEROPUERTO,2019,4481029.075,452237.8537,194.0
213,CASCO HISTÓRICO DE BARAJAS,2016,4480530.185,450931.3676,1128.0
213,CASCO HISTÓRICO DE BARAJAS,2018,4480530.185,450931.3676,1227.0
213,CASCO HISTÓRICO DE BARAJAS,2019,4480530.185,450931.3676,1360.0
214,TIMÓN,2016,4480810.557,448842.3002,3018.0
214,TIMÓN,2018,4480810.557,448842.3002,3425.0
214,TIMÓN,2019,4480810.557,448842.3002,3696.0
215,CORRALEJOS,2016,4479457.295,448527.2781,3060.0
215,CORRALEJOS,2018,4479457.295,448527.2781,3186.0
215,CORRALEJOS,2019,4479457.295,448527.2781,3263.0
