COD_DISBAR,BARRIOS,RENTA_MEDIA,ANIO,LATITUD,LONGITUD
84,PILAR,32912.29,2016,4480959.021,439853.0231
85,LA PAZ,56953.1,2016,4481394.724,440957.8603
86,VALVERDE,39314.86,2016,4483501.173,442483.6118
87,MIRASIERRA,73487.09,2016,4483094.181,439024.2924
88,EL GOLOSO,51444.66,2016,4487307.227,440716.0024
91,CASA DE CAMPO,39510.59,2016,4475050.323,436118.4975
92,ARGÜELLES,49355.13,2016,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,62275.79,2016,4478627.02,437391.5065
94,VALDEZARZA,34027.56,2016,4479644.899,439188.6628
95,VALDEMARÍN,106640.85,2016,4480009.063,433968.0416
96,EL PLANTÍO,93597.3,2016,4480219.592,430409.7127
97,ARAVACA,67162.5,2016,4478516.428,433939.3352
101,LOS CÁRMENES,27624.36,2016,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,26531.92,2016,4473487.258,437907.9825
103,LUCERO,29069.14,2016,4472679.645,436327.8871
104,ALUCHE,30431.1,2016,4471531.816,435779.5365
105,CAMPAMENTO,30794.58,2016,4470817.836,431786.0869
106,CUATRO VIENTOS,35053.31,2016,4468973.502,433434.5775
107,LAS ÁGUILAS,28990.16,2016,4470420.122,434547.9376
111,COMILLAS,26321.33,2016,4471676.723,439576.9792
112,OPAÑEL,27099.88,2016,4471320.131,438741.1131
113,SAN ISIDRO,25021.24,2016,4472031.606,438190.5428
114,VISTA ALEGRE,26875.76,2016,4470681.208,436700.7182
115,PUERTA BONITA,24636.68,2016,4470159.472,437262.2706
116,BUENAVISTA,29610.67,2016,4468769.588,436656.9012
117,ABRANTES,27438.81,2016,4470074.329,438358.4198
121,ORCASITAS,25968.57,2016,4468916.31,439516.2653
122,ORCASUR,23197.56,2016,4469305.319,440733.1193
123,SAN FERMÍN,24201.51,2016,4469120.886,441499.985
124,ALMENDRALES,24290.84,2016,4470576.407,440645.9665
125,MOSCARDÓ,25745.47,2016,4471173.407,440009.8419
126,ZOFÍO,24556.05,2016,4470110.376,439279.8576
127,PRADOLONGO,21814.32,2016,4469968.652,439974.4688
131,ENTREVÍAS,21038.58,2016,4469574.278,442858.5724
132,SAN DIEGO,20108.01,2016,4471262.193,443316.4678
133,PALOMERAS BAJAS,27649.78,2016,4470671.33,444074.8694
134,PALOMERAS SURESTE,25372.48,2016,4470708.716,445907.486
135,PORTAZGO,22832.92,2016,4471314.521,444982.7317
136,NUMANCIA,23773.91,2016,4472306.995,444116.7652
141,PAVONES,33133.7,2016,4472183.36,446353.3523
142,HORCAJO,41912.72,2016,4473295.298,446804.3855
143,MARROQUINA,39432.62,2016,4473543.376,445646.4672
144,MEDIA LEGUA,34725.94,2016,4473682.217,444272.189
145,FONTARRÓN,27396.66,2016,4472512.703,445115.9638
146,VINATEROS,28551.22,2016,4472936.191,445482.8128
151,VENTAS,27598.9,2016,4474850.803,445079.4926
152,PUEBLO NUEVO,29101.19,2016,4475266.901,446095.6831
153,QUINTANA,29520.05,2016,4476462.964,445289.7605
154,CONCEPCIÓN,33489.01,2016,4476721.345,444934.1577
155,SAN PASCUAL,41145.24,2016,4477117.637,444582.4
156,SAN JUAN BAUTISTA,53815.5,2016,4477988.461,444343.151
157,COLINA,50733.59,2016,4478807.34,444014.4325
158,ATALAYA,64437.94,2016,4479501.192,443626.7881
159,COSTILLARES,61976.64,2016,4480877.84,443334.1197
161,PALOMAS,75672.59,2016,4478175.942,447754.9382
162,PIOVERA,100792.47,2016,4478532.529,446151.4886
163,CANILLAS,38763.18,2016,4479433.42,445426.2189
164,PINAR DEL REY,32811.45,2016,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,35135.8,2016,4480844.351,444105.2521
166,VALDEFUENTES,52532.14,2016,4482753.289,446176.0779
172,SAN CRISTÓBAL,18121.61,2016,4465820.907,441533.8022
173,BUTARQUE,27423.2,2016,4465394.096,442559.7779
174,LOS ROSALES,27157.83,2016,4467464.76,441536.5956
175,LOS ÁNGELES,27544.2,2016,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,26874.23,2016,4466332.267,447496.1334
182,SANTA EUGENIA,35152.02,2016,4470494.392,448110.1432
191,CASCO HISTÓRICO DE VICÁLVARO,32908.9,2016,4471000.988,450789.392
201,SIMANCAS,29510.17,2016,4476263.737,446981.6721
202,HELLÍN,22647.07,2016,4475772.544,447680.4837
203,AMPOSTA,21317.23,2016,4475241.334,447234.3454
204,ARCOS,26632.99,2016,4474693.643,447607.4973
205,ROSAS,41383.49,2016,4475395.532,449590.4285
206,REJAS,36235.8,2016,4477317.169,451648.3991
207,CANILLEJAS,30527.12,2016,4477135.693,448224.083
208,SALVADOR,50342.19,2016,4477373.192,446491.5939
211,ALAMEDA DE OSUNA,52018.8,2016,4478581.448,449818.2184
212,AEROPUERTO,22620.31,2016,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,33312.14,2016,4480530.185,450931.3676
214,TIMÓN,38646.91,2016,4480810.557,448842.3002
215,CORRALEJOS,68664.55,2016,4479457.295,448527.2781
11,PALACIO,34675.85,2018,4474110.875,439417.7914
12,EMBAJADORES,25999.83,2018,4473417.211,440397.1764
13,CORTES,34952.68,2018,4474035.577,440880.1521
14,JUSTICIA,40314.88,2018,4475014.208,440900.7625
15,UNIVERSIDAD,30701.65,2018,4475244.247,440020.8477
16,SOL,30935.8,2018,4474314.564,440226.8442
21,IMPERIAL,41950.81,2018,4473089.616,439045.6199
24,LEGAZPI,48935.04,2018,4471151.447,441682.9396
26,PALOS DE MOGUER,33938.37,2018,4472774.286,441057.6445
27,ATOCHA,37939.28,2018,4472353.007,442131.2346
31,PACÍFICO,41948.89,2018,4472859.079,442407.5013
32,ADELFAS,45842.93,2018,4472494.747,443062.2345
34,IBIZA,45561.14,2018,4474469.277,442791.7959
36,NIÑO JESÚS,69100.16,2018,4473660.907,442862.905
41,RECOLETOS,84705.72,2018,4475110.43,441820.8979
42,GOYA,48814.74,2018,4475153.753,442789.9119
43,FUENTE DEL BERRO,40503.56,2018,4475116.489,443691.2602
44,GUINDALERA,46340.87,2018,4476402.061,443463.5845
45,LISTA,47375.42,2018,4475927.641,442676.6687
46,CASTELLANA,82811.18,2018,4476104.298,441959.5528
51,EL VISO,103573.08,2018,4477360.964,441927.2958
52,PROSPERIDAD,43701.52,2018,4477279.652,443241.5164
53,CIUDAD JARDÍN,43706.98,2018,4477733.182,442929.7851
54,HISPANOAMÉRICA,62635.35,2018,4478520.651,442584.7337
55,NUEVA ESPAÑA,80248.39,2018,4479342.236,442506.6745
56,CASTILLA,54869.97,2018,4480625.699,442382.2751
61,BELLAS VISTAS,31125.23,2018,4478217.699,439996.5425
62,CUATRO CAMINOS,43306.02,2018,4478108.124,440893.969
63,CASTILLEJOS,45025.33,2018,4479092.74,441146.7116
64,ALMENARA,28746.7,2018,4480229.372,441142.6001
65,VALDEACEDERAS,28242.05,2018,4479832.029,440304.6074
66,BERRUGUETE,28945.53,2018,4479011.421,440230.3974
71,GAZTAMBIDE,42607.64,2018,4476283.322,439389.8945
72,ARAPILES,42210.15,2018,4476214.595,439947.5584
73,TRAFALGAR,41126.22,2018,4476037.29,440530.8517
74,ALMAGRO,68786.71,2018,4476032.059,441174.9953
75,RÍOS ROSAS,47955.28,2018,4477096.745,440826.6665
76,VALLEHERMOSO,59458.58,2018,4477158.887,439682.3814
81,EL PARDO,39061.73,2018,4489409.578,435018.7103
82,FUENTELAREINA,98155.79,2018,4481421.762,437127.6497
83,PEÑAGRANDE,45508.06,2018,4481152.656,438480.3153
85,LA PAZ,58457.38,2018,4481394.724,440957.8603
86,VALVERDE,42537.25,2018,4483501.173,442483.6118
87,MIRASIERRA,78328.1,2018,4483094.181,439024.2924
88,EL GOLOSO,57441.34,2018,4487307.227,440716.0024
91,CASA DE CAMPO,41436.08,2018,4475050.323,436118.4975
92,ARGÜELLES,53460.64,2018,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,67390.49,2018,4478627.02,437391.5065
94,VALDEZARZA,34996.93,2018,4479644.899,439188.6628
95,VALDEMARÍN,112320.75,2018,4480009.063,433968.0416
96,EL PLANTÍO,101419.17,2018,4480219.592,430409.7127
97,ARAVACA,77060.76,2018,4478516.428,433939.3352
101,LOS CÁRMENES,29540.96,2018,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,27913.63,2018,4473487.258,437907.9825
103,LUCERO,30075.71,2018,4472679.645,436327.8871
104,ALUCHE,31116.51,2018,4471531.816,435779.5365
105,CAMPAMENTO,31913.21,2018,4470817.836,431786.0869
106,CUATRO VIENTOS,35197.13,2018,4468973.502,433434.5775
107,LAS ÁGUILAS,29910.45,2018,4470420.122,434547.9376
111,COMILLAS,27579.23,2018,4471676.723,439576.9792
112,OPAÑEL,28031.48,2018,4471320.131,438741.1131
113,SAN ISIDRO,26282.72,2018,4472031.606,438190.5428
114,VISTA ALEGRE,27788.21,2018,4470681.208,436700.7182
115,PUERTA BONITA,25725.19,2018,4470159.472,437262.2706
116,BUENAVISTA,31280.56,2018,4468769.588,436656.9012
117,ABRANTES,27997.61,2018,4470074.329,438358.4198
121,ORCASITAS,26857.94,2018,4468916.31,439516.2653
122,ORCASUR,24995.87,2018,4469305.319,440733.1193
123,SAN FERMÍN,25440.25,2018,4469120.886,441499.985
124,ALMENDRALES,25506.25,2018,4470576.407,440645.9665
125,MOSCARDÓ,26358.16,2018,4471173.407,440009.8419
126,ZOFÍO,25498.38,2018,4470110.376,439279.8576
127,PRADOLONGO,23173.87,2018,4469968.652,439974.4688
131,ENTREVÍAS,22055.09,2018,4469574.278,442858.5724
132,SAN DIEGO,21224.79,2018,4471262.193,443316.4678
133,PALOMERAS BAJAS,28754.31,2018,4470671.33,444074.8694
134,PALOMERAS SURESTE,26632.09,2018,4470708.716,445907.486
135,PORTAZGO,23824.7,2018,4471314.521,444982.7317
136,NUMANCIA,24872.54,2018,4472306.995,444116.7652
141,PAVONES,34024.52,2018,4472183.36,446353.3523
142,HORCAJO,45040.73,2018,4473295.298,446804.3855
143,MARROQUINA,40428.41,2018,4473543.376,445646.4672
144,MEDIA LEGUA,35438.87,2018,4473682.217,444272.189
145,FONTARRÓN,28013.71,2018,4472512.703,445115.9638
146,VINATEROS,29156.12,2018,4472936.191,445482.8128
151,VENTAS,28196.62,2018,4474850.803,445079.4926
152,PUEBLO NUEVO,30038.96,2018,4475266.901,446095.6831
153,QUINTANA,30421.56,2018,4476462.964,445289.7605
155,SAN PASCUAL,42449.95,2018,4477117.637,444582.4
156,SAN JUAN BAUTISTA,56198.19,2018,4477988.461,444343.151
157,COLINA,54247.16,2018,4478807.34,444014.4325
158,ATALAYA,67826.15,2018,4479501.192,443626.7881
159,COSTILLARES,65589.45,2018,4480877.84,443334.1197
161,PALOMAS,81736.55,2018,4478175.942,447754.9382
162,PIOVERA,97253.64,2018,4478532.529,446151.4886
163,CANILLAS,39790.24,2018,4479433.42,445426.2189
164,PINAR DEL REY,33701.43,2018,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,36691.48,2018,4480844.351,444105.2521
166,VALDEFUENTES,55975.15,2018,4482753.289,446176.0779
172,SAN CRISTÓBAL,19587.09,2018,4465820.907,441533.8022
173,BUTARQUE,30153.3,2018,4465394.096,442559.7779
174,LOS ROSALES,28416.05,2018,4467464.76,441536.5956
175,LOS ÁNGELES,28062.43,2018,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,28357.2,2018,4466332.267,447496.1334
182,SANTA EUGENIA,36426.58,2018,4470494.392,448110.1432
191,CASCO HISTÓRICO DE VICÁLVARO,34498.34,2018,4471000.988,450789.392
201,SIMANCAS,31368.08,2018,4476263.737,446981.6721
202,HELLÍN,23534.75,2018,4475772.544,447680.4837
203,AMPOSTA,21841.99,2018,4475241.334,447234.3454
204,ARCOS,28111.35,2018,4474693.643,447607.4973
205,ROSAS,43369.47,2018,4475395.532,449590.4285
206,REJAS,38202.73,2018,4477317.169,451648.3991
207,CANILLEJAS,31306.01,2018,4477135.693,448224.083
211,ALAMEDA DE OSUNA,52281.19,2018,4478581.448,449818.2184
212,AEROPUERTO,24254.31,2018,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,29450.04,2018,4480530.185,450931.3676
214,TIMÓN,40271.04,2018,4480810.557,448842.3002
215,CORRALEJOS,65879.16,2018,4479457.295,448527.2781
11,PALACIO,35509.21,2019,4474110.875,439417.7914
12,EMBAJADORES,26762.0,2019,4473417.211,440397.1764
13,CORTES,37427.0,2019,4474035.577,440880.1521
14,JUSTICIA,41584.0,2019,4475014.208,440900.7625
15,UNIVERSIDAD,31866.0,2019,4475244.247,440020.8477
16,SOL,31684.0,2019,4474314.564,440226.8442
21,IMPERIAL,35479.45,2019,4473089.616,439045.6199
24,LEGAZPI,50472.0,2019,4471151.447,441682.9396
26,PALOS DE MOGUER,34649.63,2019,4472774.286,441057.6445
27,ATOCHA,38575.0,2019,4472353.007,442131.2346
31,PACÍFICO,36935.0,2019,4472859.079,442407.5013
32,ADELFAS,46145.0,2019,4472494.747,443062.2345
34,IBIZA,46829.0,2019,4474469.277,442791.7959
36,NIÑO JESÚS,68049.0,2019,4473660.907,442862.905
41,RECOLETOS,79736.56,2019,4475110.43,441820.8979
42,GOYA,50739.08,2019,4475153.753,442789.9119
43,FUENTE DEL BERRO,41675.79,2019,4475116.489,443691.2602
44,GUINDALERA,46915.95,2019,4476402.061,443463.5845
45,LISTA,49641.19,2019,4475927.641,442676.6687
46,CASTELLANA,72528.93,2019,4476104.298,441959.5528
51,EL VISO,88193.87,2019,4477360.964,441927.2958
52,PROSPERIDAD,44699.41,2019,4477279.652,443241.5164
53,CIUDAD JARDÍN,44436.73,2019,4477733.182,442929.7851
54,HISPANOAMÉRICA,63487.38,2019,4478520.651,442584.7337
55,NUEVA ESPAÑA,73422.83,2019,4479342.236,442506.6745
56,CASTILLA,56554.14,2019,4480625.699,442382.2751
61,BELLAS VISTAS,28860.62,2019,4478217.699,439996.5425
62,CUATRO CAMINOS,44415.68,2019,4478108.124,440893.969
63,CASTILLEJOS,46595.92,2019,4479092.74,441146.7116
64,ALMENARA,29675.22,2019,4480229.372,441142.6001
65,VALDEACEDERAS,28693.65,2019,4479832.029,440304.6074
66,BERRUGUETE,29320.76,2019,4479011.421,440230.3974
71,GAZTAMBIDE,45820.97,2019,4476283.322,439389.8945
72,ARAPILES,42935.37,2019,4476214.595,439947.5584
73,TRAFALGAR,42776.92,2019,4476037.29,440530.8517
74,ALMAGRO,69962.6,2019,4476032.059,441174.9953
75,RÍOS ROSAS,49812.69,2019,4477096.745,440826.6665
76,VALLEHERMOSO,58449.46,2019,4477158.887,439682.3814
81,EL PARDO,40657.19,2019,4489409.578,435018.7103
82,FUENTELAREINA,79413.25,2019,4481421.762,437127.6497
83,PEÑAGRANDE,46484.1,2019,4481152.656,438480.3153
85,LA PAZ,59243.29,2019,4481394.724,440957.8603
86,VALVERDE,43897.87,2019,4483501.173,442483.6118
87,MIRASIERRA,69353.14,2019,4483094.181,439024.2924
88,EL GOLOSO,60055.59,2019,4487307.227,440716.0024
91,CASA DE CAMPO,55237.79,2019,4475050.323,436118.4975
92,ARGÜELLES,52002.95,2019,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,61443.99,2019,4478627.02,437391.5065
94,VALDEZARZA,35550.04,2019,4479644.899,439188.6628
95,VALDEMARÍN,88034.93,2019,4480009.063,433968.0416
96,EL PLANTÍO,89015.0,2019,4480219.592,430409.7127
97,ARAVACA,68119.67,2019,4478516.428,433939.3352
101,LOS CÁRMENES,25530.03,2019,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,28421.21,2019,4473487.258,437907.9825
103,LUCERO,30371.4,2019,4472679.645,436327.8871
104,ALUCHE,31245.09,2019,4471531.816,435779.5365
105,CAMPAMENTO,31966.93,2019,4470817.836,431786.0869
106,CUATRO VIENTOS,35491.55,2019,4468973.502,433434.5775
107,LAS ÁGUILAS,30302.52,2019,4470420.122,434547.9376
111,COMILLAS,32240.76,2019,4471676.723,439576.9792
112,OPAÑEL,28304.78,2019,4471320.131,438741.1131
113,SAN ISIDRO,26487.13,2019,4472031.606,438190.5428
114,VISTA ALEGRE,28128.12,2019,4470681.208,436700.7182
115,PUERTA BONITA,26011.61,2019,4470159.472,437262.2706
116,BUENAVISTA,31740.54,2019,4468769.588,436656.9012
117,ABRANTES,28513.26,2019,4470074.329,438358.4198
121,ORCASITAS,25064.37,2019,4468916.31,439516.2653
122,ORCASUR,25998.22,2019,4469305.319,440733.1193
123,SAN FERMÍN,25886.79,2019,4469120.886,441499.985
124,ALMENDRALES,26567.26,2019,4470576.407,440645.9665
125,MOSCARDÓ,25753.38,2019,4471173.407,440009.8419
126,ZOFÍO,23478.69,2019,4470110.376,439279.8576
127,PRADOLONGO,31306.01,2019,4469968.652,439974.4688
131,ENTREVÍAS,21622.88,2019,4469574.278,442858.5724
132,SAN DIEGO,21337.94,2019,4471262.193,443316.4678
133,PALOMERAS BAJAS,29095.18,2019,4470671.33,444074.8694
134,PALOMERAS SURESTE,27256.87,2019,4470708.716,445907.486
135,PORTAZGO,24110.06,2019,4471314.521,444982.7317
136,NUMANCIA,25086.17,2019,4472306.995,444116.7652
141,PAVONES,34086.3,2019,4472183.36,446353.3523
142,HORCAJO,45263.19,2019,4473295.298,446804.3855
143,MARROQUINA,40061.39,2019,4473543.376,445646.4672
144,MEDIA LEGUA,35922.08,2019,4473682.217,444272.189
145,FONTARRÓN,28449.33,2019,4472512.703,445115.9638
146,VINATEROS,29493.0,2019,4472936.191,445482.8128
151,VENTAS,26743.71,2019,4474850.803,445079.4926
152,PUEBLO NUEVO,30457.92,2019,4475266.901,446095.6831
153,QUINTANA,30692.21,2019,4476462.964,445289.7605
155,SAN PASCUAL,43132.76,2019,4477117.637,444582.4
156,SAN JUAN BAUTISTA,57428.84,2019,4477988.461,444343.151
157,COLINA,53788.67,2019,4478807.34,444014.4325
158,ATALAYA,71758.0,2019,4479501.192,443626.7881
159,COSTILLARES,66647.54,2019,4480877.84,443334.1197
161,PALOMAS,82127.24,2019,4478175.942,447754.9382
162,PIOVERA,81087.93,2019,4478532.529,446151.4886
163,CANILLAS,37404.47,2019,4479433.42,445426.2189
164,PINAR DEL REY,33796.32,2019,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,37312.65,2019,4480844.351,444105.2521
166,VALDEFUENTES,53809.73,2019,4482753.289,446176.0779
172,SAN CRISTÓBAL,19859.26,2019,4465820.907,441533.8022
173,BUTARQUE,30468.9,2019,4465394.096,442559.7779
174,LOS ROSALES,28679.35,2019,4467464.76,441536.5956
175,LOS ÁNGELES,28412.97,2019,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,24526.33,2019,4466332.267,447496.1334
182,SANTA EUGENIA,36865.02,2019,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,33052.51,2019,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,24577.58,2019,4471000.988,450789.392
192,VALDEBERNARDO,39388.66,2019,4471960.93,447585.5543
193,VALDERRIVAS,40053.4,2019,4472194.558,448859.2798
201,SIMANCAS,24038.54,2019,4476263.737,446981.6721
202,HELLÍN,28800.95,2019,4475772.544,447680.4837
203,AMPOSTA,38875.47,2019,4475241.334,447234.3454
204,ARCOS,54991.2,2019,4474693.643,447607.4973
205,ROSAS,31866.0,2019,4475395.532,449590.4285
206,REJAS,31684.0,2019,4477317.169,451648.3991
207,CANILLEJAS,31306.01,2019,4477135.693,448224.083
211,ALAMEDA DE OSUNA,25366.0,2019,4478581.448,449818.2184
212,AEROPUERTO,41635.74,2019,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,37427.0,2019,4480530.185,450931.3676
214,TIMÓN,41584.0,2019,4480810.557,448842.3002
215,CORRALEJOS,31866.0,2019,4479457.295,448527.2781
