COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
76,VALLEHERMOSO,1293.0,2016,4477158.887,439682.3814
81,EL PARDO,103.0,2016,4489409.578,435018.7103
82,FUENTELAREINA,227.0,2016,4481421.762,437127.6497
83,PEÑAGRANDE,2981.0,2016,4481152.656,438480.3153
84,PILAR,4338.0,2016,4480959.021,439853.0231
85,LA PAZ,1569.0,2016,4481394.724,440957.8603
86,VALVERDE,5491.0,2016,4483501.173,442483.6118
87,MIRASIERRA,1423.0,2016,4483094.181,439024.2924
88,EL GOLOSO,803.0,2016,4487307.227,440716.0024
91,CASA DE CAMPO,979.0,2016,4475050.323,436118.4975
92,ARGÜELLES,2884.0,2016,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,1557.0,2016,4478627.02,437391.5065
94,VALDEZARZA,3001.0,2016,4479644.899,439188.6628
95,VALDEMARÍN,571.0,2016,4480009.063,433968.0416
96,EL PLANTÍO,218.0,2016,4480219.592,430409.7127
97,ARAVACA,2366.0,2016,4478516.428,433939.3352
101,LOS CÁRMENES,2071.0,2016,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,6898.0,2016,4473487.258,437907.9825
103,LUCERO,4882.0,2016,4472679.645,436327.8871
104,ALUCHE,9033.0,2016,4471531.816,435779.5365
105,CAMPAMENTO,2981.0,2016,4470817.836,431786.0869
106,CUATRO VIENTOS,283.0,2016,4468973.502,433434.5775
107,LAS ÁGUILAS,4919.0,2016,4470420.122,434547.9376
111,COMILLAS,3536.0,2016,4471676.723,439576.9792
112,OPAÑEL,5596.0,2016,4471320.131,438741.1131
113,SAN ISIDRO,6454.0,2016,4472031.606,438190.5428
114,VISTA ALEGRE,8071.0,2016,4470681.208,436700.7182
115,PUERTA BONITA,5829.0,2016,4470159.472,437262.2706
116,BUENAVISTA,4711.0,2016,4468769.588,436656.9012
117,ABRANTES,4598.0,2016,4470074.329,438358.4198
121,ORCASITAS,1373.0,2016,4468916.31,439516.2653
122,ORCASUR,1399.0,2016,4469305.319,440733.1193
123,SAN FERMÍN,3541.0,2016,4469120.886,441499.985
124,ALMENDRALES,4921.0,2016,4470576.407,440645.9665
125,MOSCARDÓ,6023.0,2016,4471173.407,440009.8419
126,ZOFÍO,2561.0,2016,4470110.376,439279.8576
127,PRADOLONGO,4748.0,2016,4469968.652,439974.4688
131,ENTREVÍAS,3902.0,2016,4469574.278,442858.5724
132,SAN DIEGO,9551.0,2016,4471262.193,443316.4678
