COD_DISBAR,BARRIOS,ANIO,LATITUD,LONGITUD,NRO_PERSONAS
101,LOS CÁRMENES,2018,4472579.69,437550.3787,6410.0
101,LOS CÁRMENES,2019,4472579.69,437550.3787,6532.0
102,PUERTA DEL ÁNGEL,2016,4473487.258,437907.9825,16291.0
102,PUERTA DEL ÁNGEL,2018,4473487.258,437907.9825,16505.0
102,PUERTA DEL ÁNGEL,2019,4473487.258,437907.9825,16721.0
103,LUCERO,2016,4472679.645,436327.8871,12936.0
103,LUCERO,2018,4472679.645,436327.8871,13018.0
103,LUCERO,2019,4472679.645,436327.8871,13372.0
104,ALUCHE,2016,4471531.816,435779.5365,22819.0
104,ALUCHE,2018,4471531.816,435779.5365,22425.0
104,ALUCHE,2019,4471531.816,435779.5365,22593.0
105,CAMPAMENTO,2016,4470817.836,431786.0869,7057.0
105,CAMPAMENTO,2018,4470817.836,431786.0869,6977.0
105,CAMPAMENTO,2019,4470817.836,431786.0869,7098.0
106,CUATRO VIENTOS,2016,4468973.502,433434.5775,2535.0
106,CUATRO VIENTOS,2018,4468973.502,433434.5775,2601.0
106,CUATRO VIENTOS,2019,4468973.502,433434.5775,2511.0
107,LAS ÁGUILAS,2016,4470420.122,434547.9376,17227.0
107,LAS ÁGUILAS,2018,4470420.122,434547.9376,16774.0
107,LAS ÁGUILAS,2019,4470420.122,434547.9376,16864.0
111,COMILLAS,2016,4471676.723,439576.9792,8382.0
111,COMILLAS,2018,4471676.723,439576.9792,8374.0
111,COMILLAS,2019,4471676.723,439576.9792,8536.0
112,OPAÑEL,2016,4471320.131,438741.1131,12277.0
112,OPAÑEL,2018,4471320.131,438741.1131,12765.0
112,OPAÑEL,2019,4471320.131,438741.1131,13052.0
113,SAN ISIDRO,2016,4472031.606,438190.5428,14920.0
113,SAN ISIDRO,2018,4472031.606,438190.5428,15216.0
113,SAN ISIDRO,2019,4472031.606,438190.5428,15529.0
114,VISTA ALEGRE,2016,4470681.208,436700.7182,16674.0
114,VISTA ALEGRE,2018,4470681.208,436700.7182,16979.0
114,VISTA ALEGRE,2019,4470681.208,436700.7182,17622.0
115,PUERTA BONITA,2016,4470159.472,437262.2706,12933.0
115,PUERTA BONITA,2018,4470159.472,437262.2706,13317.0
115,PUERTA BONITA,2019,4470159.472,437262.2706,13895.0
116,BUENAVISTA,2016,4468769.588,436656.9012,18701.0
116,BUENAVISTA,2018,4468769.588,436656.9012,18444.0
116,BUENAVISTA,2019,4468769.588,436656.9012,18338.0
117,ABRANTES,2016,4470074.329,438358.4198,11176.0
117,ABRANTES,2018,4470074.329,438358.4198,11207.0
117,ABRANTES,2019,4470074.329,438358.4198,11639.0
121,ORCASITAS,2016,4468916.31,439516.2653,8136.0
121,ORCASITAS,2018,4468916.31,439516.2653,7928.0
121,ORCASITAS,2019,4468916.31,439516.2653,7923.0
122,ORCASUR,2016,4469305.319,440733.1193,5413.0
122,ORCASUR,2018,4469305.319,440733.1193,5508.0
122,ORCASUR,2019,4469305.319,440733.1193,5624.0
123,SAN FERMÍN,2016,4469120.886,441499.985,9396.0
123,SAN FERMÍN,2018,4469120.886,441499.985,9265.0
123,SAN FERMÍN,2019,4469120.886,441499.985,9388.0
124,ALMENDRALES,2016,4470576.407,440645.9665,8521.0
124,ALMENDRALES,2018,4470576.407,440645.9665,8773.0
124,ALMENDRALES,2019,4470576.407,440645.9665,8982.0
125,MOSCARDÓ,2016,4471173.407,440009.8419,10295.0
125,MOSCARDÓ,2018,4471173.407,440009.8419,10430.0
125,MOSCARDÓ,2019,4471173.407,440009.8419,10833.0
126,ZOFÍO,2016,4470110.376,439279.8576,5236.0
126,ZOFÍO,2018,4470110.376,439279.8576,5453.0
126,ZOFÍO,2019,4470110.376,439279.8576,5637.0
127,PRADOLONGO,2016,4469968.652,439974.4688,6962.0
127,PRADOLONGO,2018,4469968.652,439974.4688,7274.0
127,PRADOLONGO,2019,4469968.652,439974.4688,7458.0
131,ENTREVÍAS,2016,4469574.278,442858.5724,12586.0
131,ENTREVÍAS,2018,4469574.278,442858.5724,12768.0
131,ENTREVÍAS,2019,4469574.278,442858.5724,13206.0
132,SAN DIEGO,2016,4471262.193,443316.4678,17080.0
132,SAN DIEGO,2018,4471262.193,443316.4678,17551.0
132,SAN DIEGO,2019,4471262.193,443316.4678,18498.0
133,PALOMERAS BAJAS,2016,4470671.33,444074.8694,14709.0
133,PALOMERAS BAJAS,2018,4470671.33,444074.8694,15011.0
133,PALOMERAS BAJAS,2019,4470671.33,444074.8694,15264.0
134,PALOMERAS SURESTE,2016,4470708.716,445907.486,16300.0
134,PALOMERAS SURESTE,2018,4470708.716,445907.486,16159.0
134,PALOMERAS SURESTE,2019,4470708.716,445907.486,16359.0
135,PORTAZGO,2016,4471314.521,444982.7317,10371.0
135,PORTAZGO,2018,4471314.521,444982.7317,10520.0
135,PORTAZGO,2019,4471314.521,444982.7317,10776.0
136,NUMANCIA,2016,4472306.995,444116.7652,18683.0
136,NUMANCIA,2018,4472306.995,444116.7652,18792.0
136,NUMANCIA,2019,4472306.995,444116.7652,19234.0
141,PAVONES,2016,4472183.36,446353.3523,3266.0
141,PAVONES,2018,4472183.36,446353.3523,3103.0
141,PAVONES,2019,4472183.36,446353.3523,3124.0
142,HORCAJO,2016,4473295.298,446804.3855,2310.0
142,HORCAJO,2018,4473295.298,446804.3855,2213.0
142,HORCAJO,2019,4473295.298,446804.3855,2232.0
143,MARROQUINA,2016,4473543.376,445646.4672,9099.0
143,MARROQUINA,2018,4473543.376,445646.4672,8807.0
143,MARROQUINA,2019,4473543.376,445646.4672,8737.0
144,MEDIA LEGUA,2016,4473682.217,444272.189,6106.0
144,MEDIA LEGUA,2018,4473682.217,444272.189,5932.0
144,MEDIA LEGUA,2019,4473682.217,444272.189,5981.0
145,FONTARRÓN,2016,4472512.703,445115.9638,5764.0
145,FONTARRÓN,2018,4472512.703,445115.9638,5826.0
145,FONTARRÓN,2019,4472512.703,445115.9638,5986.0
146,VINATEROS,2016,4472936.191,445482.8128,5569.0
146,VINATEROS,2018,4472936.191,445482.8128,5420.0
146,VINATEROS,2019,4472936.191,445482.8128,5455.0
151,VENTAS,2016,4474850.803,445079.4926,17497.0
151,VENTAS,2018,4474850.803,445079.4926,17610.0
151,VENTAS,2019,4474850.803,445079.4926,17892.0
152,PUEBLO NUEVO,2016,4475266.901,446095.6831,22899.0
152,PUEBLO NUEVO,2018,4475266.901,446095.6831,23023.0
152,PUEBLO NUEVO,2019,4475266.901,446095.6831,23664.0
153,QUINTANA,2016,4476462.964,445289.7605,9154.0
153,QUINTANA,2018,4476462.964,445289.7605,9305.0
153,QUINTANA,2019,4476462.964,445289.7605,9601.0
154,CONCEPCIÓN,2016,4476721.345,444934.1577,7257.0
155,SAN PASCUAL,2016,4477117.637,444582.4,6172.0
155,SAN PASCUAL,2018,4477117.637,444582.4,6089.0
155,SAN PASCUAL,2019,4477117.637,444582.4,6049.0
156,SAN JUAN BAUTISTA,2016,4477988.461,444343.151,4412.0
156,SAN JUAN BAUTISTA,2018,4477988.461,444343.151,4427.0
156,SAN JUAN BAUTISTA,2019,4477988.461,444343.151,4400.0
157,COLINA,2016,4478807.34,444014.4325,2139.0
157,COLINA,2018,4478807.34,444014.4325,2209.0
157,COLINA,2019,4478807.34,444014.4325,2270.0
158,ATALAYA,2016,4479501.192,443626.7881,543.0
158,ATALAYA,2018,4479501.192,443626.7881,525.0
158,ATALAYA,2019,4479501.192,443626.7881,512.0
159,COSTILLARES,2016,4480877.84,443334.1197,7760.0
159,COSTILLARES,2018,4480877.84,443334.1197,7600.0
159,COSTILLARES,2019,4480877.84,443334.1197,7623.0
161,PALOMAS,2016,4478175.942,447754.9382,2366.0
161,PALOMAS,2018,4478175.942,447754.9382,2343.0
161,PALOMAS,2019,4478175.942,447754.9382,2344.0
162,PIOVERA,2016,4478532.529,446151.4886,5360.0
162,PIOVERA,2018,4478532.529,446151.4886,5350.0
162,PIOVERA,2019,4478532.529,446151.4886,5370.0
163,CANILLAS,2016,4479433.42,445426.2189,14243.0
163,CANILLAS,2018,4479433.42,445426.2189,13952.0
163,CANILLAS,2019,4479433.42,445426.2189,13858.0
164,PINAR DEL REY,2016,4480401.898,445152.0269,18459.0
164,PINAR DEL REY,2018,4480401.898,445152.0269,18142.0
164,PINAR DEL REY,2019,4480401.898,445152.0269,18282.0
165,APÓSTOL SANTIAGO,2016,4480844.351,444105.2521,5383.0
165,APÓSTOL SANTIAGO,2018,4480844.351,444105.2521,5381.0
165,APÓSTOL SANTIAGO,2019,4480844.351,444105.2521,5498.0
166,VALDEFUENTES,2016,4482753.289,446176.0779,22052.0
166,VALDEFUENTES,2018,4482753.289,446176.0779,23490.0
166,VALDEFUENTES,2019,4482753.289,446176.0779,24495.0
172,SAN CRISTÓBAL,2016,4465820.907,441533.8022,6422.0
172,SAN CRISTÓBAL,2018,4465820.907,441533.8022,6624.0
172,SAN CRISTÓBAL,2019,4465820.907,441533.8022,6977.0
173,BUTARQUE,2016,4465394.096,442559.7779,7769.0
173,BUTARQUE,2018,4465394.096,442559.7779,8033.0
173,BUTARQUE,2019,4465394.096,442559.7779,7982.0
174,LOS ROSALES,2016,4467464.76,441536.5956,14064.0
174,LOS ROSALES,2018,4467464.76,441536.5956,14087.0
174,LOS ROSALES,2019,4467464.76,441536.5956,14349.0
175,LOS ÁNGELES,2016,4467482.211,440632.5318,10466.0
175,LOS ÁNGELES,2018,4467482.211,440632.5318,10449.0
175,LOS ÁNGELES,2019,4467482.211,440632.5318,10838.0
181,CASCO HISTÓRICO DE VALLECAS,2016,4466332.267,447496.1334,37931.0
181,CASCO HISTÓRICO DE VALLECAS,2018,4466332.267,447496.1334,15968.0
181,CASCO HISTÓRICO DE VALLECAS,2019,4466332.267,447496.1334,16216.0
182,SANTA EUGENIA,2016,4470494.392,448110.1432,9186.0
182,SANTA EUGENIA,2018,4470494.392,448110.1432,8924.0
182,SANTA EUGENIA,2019,4470494.392,448110.1432,8828.0
183,ENSANCHE DE VALLECAS,2018,4468601.207,448851.2322,23105.0
183,ENSANCHE DE VALLECAS,2019,4468601.207,448851.2322,23444.0
191,CASCO HISTÓRICO DE VICÁLVARO,2016,4471000.988,450789.392,20410.0
191,CASCO HISTÓRICO DE VICÁLVARO,2018,4471000.988,450789.392,12963.0
191,CASCO HISTÓRICO DE VICÁLVARO,2019,4471000.988,450789.392,13278.0
192,VALDEBERNARDO,2018,4471960.93,447585.5543,6324.0
192,VALDEBERNARDO,2019,4471960.93,447585.5543,6337.0
193,VALDERRIVAS,2018,4472194.558,448859.2798,6795.0
193,VALDERRIVAS,2019,4472194.558,448859.2798,6274.0
201,SIMANCAS,2016,4476263.737,446981.6721,10247.0
201,SIMANCAS,2018,4476263.737,446981.6721,10595.0
201,SIMANCAS,2019,4476263.737,446981.6721,10993.0
202,HELLÍN,2016,4475772.544,447680.4837,2947.0
202,HELLÍN,2018,4475772.544,447680.4837,3103.0
202,HELLÍN,2019,4475772.544,447680.4837,3278.0
203,AMPOSTA,2016,4475241.334,447234.3454,2974.0
203,AMPOSTA,2018,4475241.334,447234.3454,3082.0
203,AMPOSTA,2019,4475241.334,447234.3454,3221.0
204,ARCOS,2016,4474693.643,447607.4973,8682.0
204,ARCOS,2018,4474693.643,447607.4973,8623.0
204,ARCOS,2019,4474693.643,447607.4973,8801.0
205,ROSAS,2016,4475395.532,449590.4285,10647.0
205,ROSAS,2018,4475395.532,449590.4285,10356.0
205,ROSAS,2019,4475395.532,449590.4285,10528.0
206,REJAS,2016,4477317.169,451648.3991,6893.0
206,REJAS,2018,4477317.169,451648.3991,7125.0
206,REJAS,2019,4477317.169,451648.3991,7153.0
207,CANILLEJAS,2016,4477135.693,448224.083,10584.0
207,CANILLEJAS,2018,4477135.693,448224.083,10485.0
207,CANILLEJAS,2019,4477135.693,448224.083,10382.0
208,SALVADOR,2016,4477373.192,446491.5939,3834.0
211,ALAMEDA DE OSUNA,2016,4478581.448,449818.2184,6814.0
211,ALAMEDA DE OSUNA,2018,4478581.448,449818.2184,6505.0
211,ALAMEDA DE OSUNA,2019,4478581.448,449818.2184,6378.0
212,AEROPUERTO,2016,4481029.075,452237.8537,740.0
212,AEROPUERTO,2018,4481029.075,452237.8537,735.0
212,AEROPUERTO,2019,4481029.075,452237.8537,757.0
213,CASCO HISTÓRICO DE BARAJAS,2016,4480530.185,450931.3676,3076.0
213,CASCO HISTÓRICO DE BARAJAS,2018,4480530.185,450931.3676,3066.0
213,CASCO HISTÓRICO DE BARAJAS,2019,4480530.185,450931.3676,3161.0
214,TIMÓN,2016,4480810.557,448842.3002,4706.0
214,TIMÓN,2018,4480810.557,448842.3002,5046.0
214,TIMÓN,2019,4480810.557,448842.3002,5231.0
215,CORRALEJOS,2016,4479457.295,448527.2781,2709.0
215,CORRALEJOS,2018,4479457.295,448527.2781,2614.0
215,CORRALEJOS,2019,4479457.295,448527.2781,2623.0
