COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
76,VALLEHERMOSO,521.0,2018,4477158.887,439682.3814
81,EL PARDO,132.0,2018,4489409.578,435018.7103
82,FUENTELAREINA,60.0,2018,4481421.762,437127.6497
83,PEÑAGRANDE,1825.0,2018,4481152.656,438480.3153
85,LA PAZ,1012.0,2018,4481394.724,440957.8603
86,VALVERDE,2597.0,2018,4483501.173,442483.6118
87,MIRASIERRA,848.0,2018,4483094.181,439024.2924
88,EL GOLOSO,392.0,2018,4487307.227,440716.0024
91,CASA DE CAMPO,599.0,2018,4475050.323,436118.4975
92,ARGÜELLES,853.0,2018,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,457.0,2018,4478627.02,437391.5065
94,VALDEZARZA,1294.0,2018,4479644.899,439188.6628
95,VALDEMARÍN,131.0,2018,4480009.063,433968.0416
96,EL PLANTÍO,47.0,2018,4480219.592,430409.7127
97,ARAVACA,645.0,2018,4478516.428,433939.3352
101,LOS CÁRMENES,1282.0,2018,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,2620.0,2018,4473487.258,437907.9825
103,LUCERO,2160.0,2018,4472679.645,436327.8871
104,ALUCHE,3159.0,2018,4471531.816,435779.5365
105,CAMPAMENTO,862.0,2018,4470817.836,431786.0869
106,CUATRO VIENTOS,297.0,2018,4468973.502,433434.5775
107,LAS ÁGUILAS,2526.0,2018,4470420.122,434547.9376
111,COMILLAS,1331.0,2018,4471676.723,439576.9792
112,OPAÑEL,1849.0,2018,4471320.131,438741.1131
113,SAN ISIDRO,2943.0,2018,4472031.606,438190.5428
114,VISTA ALEGRE,2662.0,2018,4470681.208,436700.7182
115,PUERTA BONITA,2369.0,2018,4470159.472,437262.2706
116,BUENAVISTA,2470.0,2018,4468769.588,436656.9012
117,ABRANTES,1889.0,2018,4470074.329,438358.4198
121,ORCASITAS,1495.0,2018,4468916.31,439516.2653
122,ORCASUR,1212.0,2018,4469305.319,440733.1193
123,SAN FERMÍN,1684.0,2018,4469120.886,441499.985
124,ALMENDRALES,1369.0,2018,4470576.407,440645.9665
125,MOSCARDÓ,1536.0,2018,4471173.407,440009.8419
126,ZOFÍO,857.0,2018,4470110.376,439279.8576
