COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
205,ROSAS,USADAS,2636.38,2016,4475395.532,449590.4285
206,REJAS,USADAS,2091.98,2016,4477317.169,451648.3991
207,CANILLEJAS,USADAS,1573.88,2016,4477135.693,448224.083
208,SALVADOR,USADAS,2653.82,2016,4477373.192,446491.5939
211,ALAMEDA DE OSUNA,USADAS,2283.73,2016,4478581.448,449818.2184
212,AEROPUERTO,USADAS,0.0,2016,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,USADAS,1973.96,2016,4480530.185,450931.3676
214,TIMÓN,USADAS,2435.88,2016,4480810.557,448842.3002
215,CORRALEJOS,USADAS,2566.79,2016,4479457.295,448527.2781
11,PALACIO,USADAS,4105.46,2018,4474110.875,439417.7914
12,EMBAJADORES,USADAS,4187.39,2018,4473417.211,440397.1764
13,CORTES,USADAS,5303.59,2018,4474035.577,440880.1521
14,JUSTICIA,USADAS,5882.35,2018,4475014.208,440900.7625
15,UNIVERSIDAD,USADAS,5039.18,2018,4475244.247,440020.8477
16,SOL,USADAS,5129.22,2018,4474314.564,440226.8442
21,IMPERIAL,USADAS,3402.02,2018,4473089.616,439045.6199
22,ACACIAS,USADAS,3810.39,2018,4472513.434,439982.8536
23,CHOPERA,USADAS,3449.53,2018,4471808.825,440672.2536
24,LEGAZPI,USADAS,4208.88,2018,4471151.447,441682.9396
25,DELICIAS,USADAS,3648.51,2018,4472027.934,441453.464
26,PALOS DE MOGUER,USADAS,3766.91,2018,4472774.286,441057.6445
27,ATOCHA,USADAS,0.0,2018,4472353.007,442131.2346
31,PACÍFICO,USADAS,3932.71,2018,4472859.079,442407.5013
32,ADELFAS,USADAS,3795.86,2018,4472494.747,443062.2345
33,ESTRELLA,USADAS,3721.52,2018,4473931.01,443534.9304
34,IBIZA,USADAS,5114.85,2018,4474469.277,442791.7959
35,JERÓNIMOS,USADAS,6004.08,2018,4473905.687,441870.6698
36,NIÑO JESÚS,USADAS,4922.28,2018,4473660.907,442862.905
41,RECOLETOS,USADAS,7522.17,2018,4475110.43,441820.8979
42,GOYA,USADAS,5569.25,2018,4475153.753,442789.9119
43,FUENTE DEL BERRO,USADAS,4724.5,2018,4475116.489,443691.2602
44,GUINDALERA,USADAS,4078.31,2018,4476402.061,443463.5845
45,LISTA,USADAS,5504.62,2018,4475927.641,442676.6687
46,CASTELLANA,USADAS,6908.64,2018,4476104.298,441959.5528
51,EL VISO,USADAS,5563.31,2018,4477360.964,441927.2958
52,PROSPERIDAD,USADAS,4146.74,2018,4477279.652,443241.5164
53,CIUDAD JARDÍN,USADAS,4234.09,2018,4477733.182,442929.7851
54,HISPANOAMÉRICA,USADAS,4961.22,2018,4478520.651,442584.7337
55,NUEVA ESPAÑA,USADAS,5739.83,2018,4479342.236,442506.6745
56,CASTILLA,USADAS,4146.48,2018,4480625.699,442382.2751
