BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
ATOCHA,2018,69.0,27.78
ATOCHA,2019,65.0,-5.8
BELLAS VISTAS,2016,6041.0,0.0
BELLAS VISTAS,2018,6306.0,4.39
BELLAS VISTAS,2019,6650.0,5.46
BERRUGUETE,2016,5147.0,0.0
BERRUGUETE,2018,5610.0,9.0
BERRUGUETE,2019,6015.0,7.22
BUENAVISTA,2016,4711.0,0.0
BUENAVISTA,2018,5572.0,18.28
BUENAVISTA,2019,6167.0,10.68
BUTARQUE,2016,1954.0,0.0
BUTARQUE,2018,2435.0,24.62
BUTARQUE,2019,2628.0,7.93
CAMPAMENTO,2016,2981.0,0.0
CAMPAMENTO,2018,3235.0,8.52
CAMPAMENTO,2019,3593.0,11.07
CANILLAS,2016,3152.0,0.0
CANILLAS,2018,3450.0,9.45
CANILLAS,2019,3666.0,6.26
CANILLEJAS,2016,3675.0,0.0
CANILLEJAS,2018,4079.0,10.99
CANILLEJAS,2019,4322.0,5.96
CASA DE CAMPO,2016,979.0,0.0
CASA DE CAMPO,2018,1036.0,5.82
CASA DE CAMPO,2019,1113.0,7.43
CASCO HISTÓRICO DE BARAJAS,2016,1188.0,0.0
CASCO HISTÓRICO DE BARAJAS,2018,1268.0,6.73
CASCO HISTÓRICO DE BARAJAS,2019,1388.0,9.46
CASCO HISTÓRICO DE VALLECAS,2016,8543.0,0.0
CASCO HISTÓRICO DE VALLECAS,2018,5981.0,-29.99
CASCO HISTÓRICO DE VALLECAS,2019,6566.0,9.78
CASCO HISTÓRICO DE VICÁLVARO,2016,4799.0,0.0
CASCO HISTÓRICO DE VICÁLVARO,2018,6448.0,34.36
CASCO HISTÓRICO DE VICÁLVARO,2019,6883.0,6.75
CASTELLANA,2016,2462.0,0.0
CASTELLANA,2018,2629.0,6.78
CASTELLANA,2019,2816.0,7.11
CASTILLA,2016,1256.0,0.0
CASTILLA,2018,1418.0,12.9
CASTILLA,2019,1433.0,1.06
CASTILLEJOS,2016,2762.0,0.0
CASTILLEJOS,2018,2992.0,8.33
CASTILLEJOS,2019,3093.0,3.38
CHOPERA,2016,2644.0,0.0
CIUDAD JARDÍN,2016,1929.0,0.0
CIUDAD JARDÍN,2018,2088.0,8.24
CIUDAD JARDÍN,2019,2145.0,2.73
CIUDAD UNIVERSITARIA,2016,1557.0,0.0
CIUDAD UNIVERSITARIA,2018,1501.0,-3.6
CIUDAD UNIVERSITARIA,2019,1575.0,4.93
COLINA,2016,577.0,0.0
COLINA,2018,602.0,4.33
COLINA,2019,646.0,7.31
COMILLAS,2016,3536.0,0.0
COMILLAS,2018,3727.0,5.4
COMILLAS,2019,4064.0,9.04
CONCEPCIÓN,2016,2518.0,0.0
CORRALEJOS,2016,486.0,0.0
CORRALEJOS,2018,487.0,0.21
CORRALEJOS,2019,508.0,4.31
CORTES,2016,2183.0,0.0
CORTES,2018,2313.0,5.96
CORTES,2019,2420.0,4.63
COSTILLARES,2016,1055.0,0.0
COSTILLARES,2018,1099.0,4.17
COSTILLARES,2019,1143.0,4.0
CUATRO CAMINOS,2016,4601.0,0.0
CUATRO CAMINOS,2018,4838.0,5.15
CUATRO CAMINOS,2019,5158.0,6.61
CUATRO VIENTOS,2016,283.0,0.0
CUATRO VIENTOS,2018,338.0,19.43
CUATRO VIENTOS,2019,355.0,5.03
DELICIAS,2016,2996.0,0.0
EL GOLOSO,2016,803.0,0.0
EL GOLOSO,2018,901.0,12.2
EL GOLOSO,2019,994.0,10.32
EL PARDO,2016,103.0,0.0
EL PARDO,2018,119.0,15.53
EL PARDO,2019,141.0,18.49
EL PLANTÍO,2016,218.0,0.0
EL PLANTÍO,2018,220.0,0.92
EL PLANTÍO,2019,261.0,18.64
EL VISO,2016,1897.0,0.0
EL VISO,2018,1814.0,-4.38
EL VISO,2019,1907.0,5.13
EMBAJADORES,2016,11091.0,0.0
EMBAJADORES,2018,11275.0,1.66
EMBAJADORES,2019,11869.0,5.27
ENSANCHE DE VALLECAS,2018,3752.0,0.0
ENSANCHE DE VALLECAS,2019,4467.0,19.06
ENTREVÍAS,2016,3902.0,0.0
ENTREVÍAS,2018,4721.0,20.99
ENTREVÍAS,2019,5371.0,13.77
ESTRELLA,2016,858.0,0.0
FONTARRÓN,2016,1791.0,0.0
FONTARRÓN,2018,2105.0,17.53
FONTARRÓN,2019,2394.0,13.73
FUENTE DEL BERRO,2016,2215.0,0.0
FUENTE DEL BERRO,2018,2310.0,4.29
FUENTE DEL BERRO,2019,2490.0,7.79
FUENTELAREINA,2016,227.0,0.0
FUENTELAREINA,2018,248.0,9.25
FUENTELAREINA,2019,243.0,-2.02
GAZTAMBIDE,2016,2470.0,0.0
GAZTAMBIDE,2018,2388.0,-3.32
GAZTAMBIDE,2019,2583.0,8.17
GOYA,2016,3324.0,0.0
GOYA,2018,3807.0,14.53
GOYA,2019,4124.0,8.33
GUINDALERA,2016,3772.0,0.0
GUINDALERA,2018,4146.0,9.92
GUINDALERA,2019,4423.0,6.68
HELLÍN,2016,761.0,0.0
HELLÍN,2018,928.0,21.94
HELLÍN,2019,1147.0,23.6
HISPANOAMÉRICA,2016,2144.0,0.0
HISPANOAMÉRICA,2018,2101.0,-2.01
HISPANOAMÉRICA,2019,2273.0,8.19
HORCAJO,2016,266.0,0.0
HORCAJO,2018,214.0,-19.55
HORCAJO,2019,244.0,14.02
IBIZA,2016,1946.0,0.0
IBIZA,2018,2126.0,9.25
IBIZA,2019,2450.0,15.24
IMPERIAL,2016,1487.0,0.0
IMPERIAL,2018,1518.0,2.08
IMPERIAL,2019,1606.0,5.8
JERÓNIMOS,2016,655.0,0.0
JUSTICIA,2016,3042.0,0.0
JUSTICIA,2018,3410.0,12.1
JUSTICIA,2019,3667.0,7.54
LA PAZ,2016,1569.0,0.0
LA PAZ,2018,1622.0,3.38
LA PAZ,2019,1763.0,8.69
LAS ÁGUILAS,2016,4919.0,0.0
LAS ÁGUILAS,2018,5339.0,8.54
LAS ÁGUILAS,2019,5941.0,11.28
LEGAZPI,2016,1309.0,0.0
LEGAZPI,2018,1318.0,0.69
LEGAZPI,2019,1391.0,5.54
LISTA,2016,2682.0,0.0
LISTA,2018,2810.0,4.77
LISTA,2019,2878.0,2.42
LOS CÁRMENES,2016,2071.0,0.0
LOS CÁRMENES,2018,2308.0,11.44
LOS CÁRMENES,2019,2475.0,7.24
LOS ROSALES,2016,5880.0,0.0
LOS ROSALES,2018,6618.0,12.55
LOS ROSALES,2019,7212.0,8.98
LOS ÁNGELES,2016,3995.0,0.0
LOS ÁNGELES,2018,4415.0,10.51
LOS ÁNGELES,2019,4982.0,12.84
LUCERO,2016,4882.0,0.0
LUCERO,2018,5517.0,13.01
LUCERO,2019,6129.0,11.09
MARROQUINA,2016,1441.0,0.0
MARROQUINA,2018,1570.0,8.95
MARROQUINA,2019,1688.0,7.52
MEDIA LEGUA,2016,1360.0,0.0
MEDIA LEGUA,2018,1468.0,7.94
MEDIA LEGUA,2019,1667.0,13.56
MIRASIERRA,2016,1423.0,0.0
MIRASIERRA,2018,1547.0,8.71
MIRASIERRA,2019,1620.0,4.72
MOSCARDÓ,2016,6023.0,0.0
MOSCARDÓ,2018,6623.0,9.96
MOSCARDÓ,2019,7173.0,8.3
NIÑO JESÚS,2016,721.0,0.0
NIÑO JESÚS,2018,776.0,7.63
NIÑO JESÚS,2019,869.0,11.98
NUEVA ESPAÑA,2016,2046.0,0.0
NUEVA ESPAÑA,2018,2210.0,8.02
NUEVA ESPAÑA,2019,2252.0,1.9
NUMANCIA,2016,8117.0,0.0
NUMANCIA,2018,9012.0,11.03
NUMANCIA,2019,9871.0,9.53
OPAÑEL,2016,5596.0,0.0
OPAÑEL,2018,6346.0,13.4
OPAÑEL,2019,6931.0,9.22
ORCASITAS,2016,1373.0,0.0
ORCASITAS,2018,1636.0,19.16
ORCASITAS,2019,1893.0,15.71
ORCASUR,2016,1399.0,0.0
ORCASUR,2018,1817.0,29.88
ORCASUR,2019,2054.0,13.04
PACÍFICO,2016,2666.0,0.0
PACÍFICO,2018,2798.0,4.95
PACÍFICO,2019,2958.0,5.72
PALACIO,2016,3652.0,0.0
PALACIO,2018,3854.0,5.53
PALACIO,2019,4028.0,4.51
PALOMAS,2016,592.0,0.0
PALOMAS,2018,601.0,1.52
PALOMAS,2019,673.0,11.98
PALOMERAS BAJAS,2016,4372.0,0.0
PALOMERAS BAJAS,2018,5011.0,14.62
PALOMERAS BAJAS,2019,5623.0,12.21
PALOMERAS SURESTE,2016,3985.0,0.0
PALOMERAS SURESTE,2018,4434.0,11.27
PALOMERAS SURESTE,2019,5024.0,13.31
PALOS DE MOGUER,2016,3659.0,0.0
PALOS DE MOGUER,2018,3675.0,0.44
PALOS DE MOGUER,2019,3841.0,4.52
PAVONES,2016,880.0,0.0
PAVONES,2018,849.0,-3.52
PAVONES,2019,938.0,10.48
PEÑAGRANDE,2016,2981.0,0.0
PEÑAGRANDE,2018,3268.0,9.63
PEÑAGRANDE,2019,3422.0,4.71
PILAR,2016,4338.0,0.0
PINAR DEL REY,2016,4674.0,0.0
PINAR DEL REY,2018,5073.0,8.54
PINAR DEL REY,2019,5643.0,11.24
PIOVERA,2016,2067.0,0.0
PIOVERA,2018,2037.0,-1.45
PIOVERA,2019,2187.0,7.36
PORTAZGO,2016,3202.0,0.0
PORTAZGO,2018,3635.0,13.52
PORTAZGO,2019,4082.0,12.3
PRADOLONGO,2016,4748.0,0.0
PRADOLONGO,2018,5502.0,15.88
PRADOLONGO,2019,5905.0,7.32
PROSPERIDAD,2016,3288.0,0.0
PROSPERIDAD,2018,3534.0,7.48
PROSPERIDAD,2019,3788.0,7.19
PUEBLO NUEVO,2016,8723.0,0.0
PUEBLO NUEVO,2018,9563.0,9.63
PUEBLO NUEVO,2019,10726.0,12.16
PUERTA BONITA,2016,5829.0,0.0
PUERTA BONITA,2018,6908.0,18.51
PUERTA BONITA,2019,7827.0,13.3
PUERTA DEL ÁNGEL,2016,6898.0,0.0
PUERTA DEL ÁNGEL,2018,7497.0,8.68
PUERTA DEL ÁNGEL,2019,8039.0,7.23
QUINTANA,2016,3814.0,0.0
QUINTANA,2018,4245.0,11.3
QUINTANA,2019,4535.0,6.83
RECOLETOS,2016,2125.0,0.0
RECOLETOS,2018,2491.0,17.22
RECOLETOS,2019,2644.0,6.14
REJAS,2016,2042.0,0.0
REJAS,2018,2554.0,25.07
REJAS,2019,2896.0,13.39
ROSAS,2016,1527.0,0.0
ROSAS,2018,1521.0,-0.39
ROSAS,2019,1729.0,13.68
RÍOS ROSAS,2016,2776.0,0.0
RÍOS ROSAS,2018,2875.0,3.57
RÍOS ROSAS,2019,3036.0,5.6
SALVADOR,2016,779.0,0.0
SAN CRISTÓBAL,2016,4154.0,0.0
SAN CRISTÓBAL,2018,4682.0,12.71
SAN CRISTÓBAL,2019,5165.0,10.32
SAN DIEGO,2016,9551.0,0.0
SAN DIEGO,2018,10600.0,10.98
SAN DIEGO,2019,12035.0,13.54
SAN FERMÍN,2016,3541.0,0.0
SAN FERMÍN,2018,4060.0,14.66
SAN FERMÍN,2019,4520.0,11.33
SAN ISIDRO,2016,6454.0,0.0
SAN ISIDRO,2018,7214.0,11.78
SAN ISIDRO,2019,7728.0,7.13
SAN JUAN BAUTISTA,2016,988.0,0.0
SAN JUAN BAUTISTA,2018,1084.0,9.72
SAN JUAN BAUTISTA,2019,1192.0,9.96
SAN PASCUAL,2016,1366.0,0.0
SAN PASCUAL,2018,1403.0,2.71
SAN PASCUAL,2019,1467.0,4.56
SANTA EUGENIA,2016,2341.0,0.0
SANTA EUGENIA,2018,2392.0,2.18
SANTA EUGENIA,2019,2510.0,4.93
SIMANCAS,2016,3543.0,0.0
SIMANCAS,2018,4157.0,17.33
SIMANCAS,2019,4705.0,13.18
SOL,2016,1890.0,0.0
SOL,2018,1805.0,-4.5
SOL,2019,2008.0,11.25
TIMÓN,2016,921.0,0.0
TIMÓN,2018,1091.0,18.46
TIMÓN,2019,1230.0,12.74
TRAFALGAR,2016,2920.0,0.0
TRAFALGAR,2018,3051.0,4.49
TRAFALGAR,2019,3284.0,7.64
UNIVERSIDAD,2016,6240.0,0.0
UNIVERSIDAD,2018,6475.0,3.77
UNIVERSIDAD,2019,6845.0,5.71
VALDEACEDERAS,2016,4705.0,0.0
VALDEACEDERAS,2018,5426.0,15.32
VALDEACEDERAS,2019,5901.0,8.75
VALDEBERNARDO,2018,1007.0,0.0
VALDEBERNARDO,2019,1080.0,7.25
VALDEFUENTES,2016,3924.0,0.0
VALDEFUENTES,2018,4768.0,21.51
VALDEFUENTES,2019,5521.0,15.79
VALDEMARÍN,2016,571.0,0.0
VALDEMARÍN,2018,621.0,8.76
VALDEMARÍN,2019,627.0,0.97
VALDERRIVAS,2018,592.0,0.0
VALDERRIVAS,2019,649.0,9.63
VALDEZARZA,2016,3001.0,0.0
VALDEZARZA,2018,3062.0,2.03
VALDEZARZA,2019,3329.0,8.72
VALLEHERMOSO,2016,1293.0,0.0
VALLEHERMOSO,2018,1367.0,5.72
VALLEHERMOSO,2019,1495.0,9.36
VALVERDE,2016,5491.0,0.0
VALVERDE,2018,6681.0,21.67
VALVERDE,2019,7392.0,10.64
VENTAS,2016,6782.0,0.0
VENTAS,2018,7358.0,8.49
VENTAS,2019,7924.0,7.69
VINATEROS,2016,1646.0,0.0
VINATEROS,2018,1732.0,5.22
VINATEROS,2019,1912.0,10.39
VISTA ALEGRE,2016,8071.0,0.0
VISTA ALEGRE,2018,9165.0,13.55
VISTA ALEGRE,2019,10186.0,11.14
ZOFÍO,2016,2561.0,0.0
ZOFÍO,2018,3050.0,19.09
ZOFÍO,2019,3323.0,8.95
