BARRIOS,ANIO,PRECIO(EUROS/M2),PORCENTAJE_EVOLUCION
SAN ISIDRO,2018,2034.54,25.69
SAN ISIDRO,2019,2162.99,6.31
SAN JUAN BAUTISTA,2016,3117.85,0.0
SAN JUAN BAUTISTA,2018,3725.1,19.48
SAN JUAN BAUTISTA,2019,4081.73,9.57
SAN PASCUAL,2016,2928.67,0.0
SAN PASCUAL,2018,3776.42,28.95
SAN PASCUAL,2019,4139.15,9.61
SANTA EUGENIA,2016,1555.49,0.0
SANTA EUGENIA,2018,1932.18,24.22
SANTA EUGENIA,2019,1978.88,2.42
SIMANCAS,2016,1736.97,0.0
SIMANCAS,2018,2375.85,36.78
SIMANCAS,2019,2499.07,5.19
SOL,2016,3698.16,0.0
SOL,2018,5129.22,38.7
SOL,2019,5308.95,3.5
TIMÓN,2016,2435.88,0.0
TIMÓN,2018,3226.8,32.47
TIMÓN,2019,3370.35,4.45
TRAFALGAR,2016,3912.6,0.0
TRAFALGAR,2018,5209.03,33.13
TRAFALGAR,2019,5520.79,5.98
UNIVERSIDAD,2016,3612.49,0.0
UNIVERSIDAD,2018,5039.18,39.49
UNIVERSIDAD,2019,5453.38,8.22
VALDEACEDERAS,2016,1993.57,0.0
VALDEACEDERAS,2018,2586.16,29.73
VALDEACEDERAS,2019,3019.38,16.75
VALDEBERNARDO,2016,1429.16,0.0
VALDEBERNARDO,2018,2156.56,50.9
VALDEBERNARDO,2019,2537.64,17.67
VALDEFUENTES,2016,3483.88,0.0
VALDEFUENTES,2018,4627.26,32.82
VALDEFUENTES,2019,4176.52,-9.74
VALDEMARÍN,2016,3838.88,0.0
VALDEMARÍN,2018,3974.84,3.54
VALDEMARÍN,2019,4788.7,20.48
VALDEZARZA,2016,1951.8,0.0
VALDEZARZA,2018,2793.62,43.13
VALDEZARZA,2019,3035.11,8.64
VALLEHERMOSO,2016,3507.25,0.0
VALLEHERMOSO,2018,4564.21,30.14
VALLEHERMOSO,2019,4768.92,4.49
VALVERDE,2016,2667.84,0.0
VALVERDE,2018,3043.6,14.08
VALVERDE,2019,3229.81,6.12
VENTAS,2016,1781.37,0.0
VENTAS,2018,2386.41,33.96
VENTAS,2019,2645.46,10.86
