BARRIOS,ANIO,NRO_MEDIA_PERSONAS,PORCENTAJE_EVOLUCION
TIMÓN,2016,2.63,0.0
TIMÓN,2018,2.67,1.52
TIMÓN,2019,2.67,0.0
TRAFALGAR,2016,2.13,0.0
TRAFALGAR,2018,2.11,-0.94
TRAFALGAR,2019,2.11,0.0
UNIVERSIDAD,2016,1.97,0.0
UNIVERSIDAD,2018,1.96,-0.51
UNIVERSIDAD,2019,1.96,0.0
VALDEACEDERAS,2016,2.43,0.0
VALDEACEDERAS,2018,2.44,0.41
VALDEACEDERAS,2019,2.45,0.41
VALDEBERNARDO,2018,2.9,0.0
VALDEBERNARDO,2019,2.89,-0.34
VALDEFUENTES,2016,2.85,0.0
VALDEFUENTES,2018,2.88,1.05
VALDEFUENTES,2019,2.9,0.69
VALDEMARÍN,2016,3.54,0.0
VALDEMARÍN,2018,3.51,-0.85
VALDEMARÍN,2019,3.52,0.28
VALDERRIVAS,2018,2.88,0.0
VALDERRIVAS,2019,2.88,0.0
VALDEZARZA,2016,2.46,0.0
VALDEZARZA,2018,2.43,-1.22
VALDEZARZA,2019,2.43,0.0
VALLEHERMOSO,2016,2.43,0.0
VALLEHERMOSO,2018,2.41,-0.82
VALLEHERMOSO,2019,2.41,0.0
VALVERDE,2016,2.71,0.0
VALVERDE,2018,2.75,1.48
VALVERDE,2019,2.77,0.73
VENTAS,2016,2.41,0.0
VENTAS,2018,2.42,0.41
VENTAS,2019,2.42,0.0
VINATEROS,2016,2.35,0.0
VINATEROS,2018,2.33,-0.85
VINATEROS,2019,2.34,0.43
VISTA ALEGRE,2016,2.61,0.0
VISTA ALEGRE,2018,2.63,0.77
VISTA ALEGRE,2019,2.66,1.14
ZOFÍO,2016,2.72,0.0
ZOFÍO,2018,2.76,1.47
ZOFÍO,2019,2.8,1.45
