BARRIOS,ANIO,NRO_HOSPEDAJES,PORCENTAJE_EVOLUCION
VALDEZARZA,2019,30,900.0
VALLEHERMOSO,2016,1,0.0
VALLEHERMOSO,2018,2,100.0
VALLEHERMOSO,2019,31,1450.0
VALVERDE,2016,1,0.0
VALVERDE,2018,6,500.0
VALVERDE,2019,44,633.33
VENTAS,2018,13,0.0
VENTAS,2019,98,653.85
VINATEROS,2019,14,0.0
VISTA ALEGRE,2016,2,0.0
VISTA ALEGRE,2018,9,350.0
VISTA ALEGRE,2019,66,633.33
ZOFÍO,2018,2,0.0
ZOFÍO,2019,24,1100.0
