BARRIOS,ANIO,NRO_TERRAZAS,PORCENTAJE_EVOLUCION
PUERTA BONITA,2019,17,6.25
PUERTA DEL ÁNGEL,2016,18,0.0
PUERTA DEL ÁNGEL,2018,40,122.22
PUERTA DEL ÁNGEL,2019,45,12.5
QUINTANA,2016,32,0.0
QUINTANA,2018,37,15.62
QUINTANA,2019,39,5.41
RECOLETOS,2016,66,0.0
RECOLETOS,2018,57,-13.64
RECOLETOS,2019,66,15.79
REJAS,2016,3,0.0
REJAS,2018,4,33.33
REJAS,2019,4,0.0
ROSAS,2016,50,0.0
ROSAS,2018,59,18.0
ROSAS,2019,67,13.56
RÍOS ROSAS,2016,65,0.0
RÍOS ROSAS,2018,77,18.46
RÍOS ROSAS,2019,86,11.69
SALVADOR,2016,13,0.0
SALVADOR,2018,15,15.38
SALVADOR,2019,18,20.0
SAN CRISTÓBAL,2016,18,0.0
SAN CRISTÓBAL,2018,22,22.22
SAN CRISTÓBAL,2019,25,13.64
SAN DIEGO,2016,25,0.0
SAN DIEGO,2018,33,32.0
SAN DIEGO,2019,32,-3.03
SAN FERMÍN,2016,14,0.0
SAN FERMÍN,2018,15,7.14
SAN FERMÍN,2019,15,0.0
SAN ISIDRO,2016,3,0.0
SAN ISIDRO,2018,23,666.67
SAN ISIDRO,2019,23,0.0
SAN JUAN BAUTISTA,2016,8,0.0
SAN JUAN BAUTISTA,2018,9,12.5
SAN JUAN BAUTISTA,2019,10,11.11
SAN PASCUAL,2016,7,0.0
SAN PASCUAL,2018,8,14.29
SAN PASCUAL,2019,9,12.5
SANTA EUGENIA,2016,24,0.0
SANTA EUGENIA,2018,28,16.67
SANTA EUGENIA,2019,30,7.14
SIMANCAS,2016,46,0.0
SIMANCAS,2018,58,26.09
SIMANCAS,2019,61,5.17
SOL,2016,164,0.0
SOL,2018,164,0.0
SOL,2019,164,0.0
TIMÓN,2016,2,0.0
TIMÓN,2018,17,750.0
TIMÓN,2019,18,5.88
TRAFALGAR,2016,88,0.0
TRAFALGAR,2018,104,18.18
TRAFALGAR,2019,108,3.85
UNIVERSIDAD,2016,84,0.0
UNIVERSIDAD,2018,86,2.38
UNIVERSIDAD,2019,90,4.65
VALDEACEDERAS,2016,3,0.0
VALDEACEDERAS,2018,16,433.33
VALDEACEDERAS,2019,16,0.0
VALDEBERNARDO,2018,22,0.0
VALDEBERNARDO,2019,20,-9.09
VALDEFUENTES,2016,1,0.0
VALDEFUENTES,2018,31,3000.0
VALDEFUENTES,2019,33,6.45
VALDEMARÍN,2016,2,0.0
VALDEMARÍN,2018,1,-50.0
VALDEMARÍN,2019,2,100.0
VALDERRIVAS,2018,8,0.0
VALDERRIVAS,2019,8,0.0
VALDEZARZA,2016,6,0.0
VALDEZARZA,2018,14,133.33
VALDEZARZA,2019,14,0.0
VALLEHERMOSO,2016,63,0.0
VALLEHERMOSO,2018,68,7.94
VALLEHERMOSO,2019,72,5.88
VALVERDE,2016,66,0.0
VALVERDE,2018,82,24.24
VALVERDE,2019,83,1.22
VENTAS,2016,41,0.0
VENTAS,2018,52,26.83
VENTAS,2019,54,3.85
VINATEROS,2016,21,0.0
VINATEROS,2018,19,-9.52
VINATEROS,2019,19,0.0
VISTA ALEGRE,2016,18,0.0
VISTA ALEGRE,2018,64,255.56
VISTA ALEGRE,2019,66,3.12
ZOFÍO,2016,6,0.0
ZOFÍO,2018,8,33.33
ZOFÍO,2019,8,0.0
