BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
ORCASITAS,2016,2273.0,0.0
ORCASITAS,2018,2374.0,4.44
ORCASITAS,2019,2516.0,5.98
ORCASUR,2016,1405.0,0.0
ORCASUR,2018,1511.0,7.54
ORCASUR,2019,1582.0,4.7
PACÍFICO,2016,13381.0,0.0
PACÍFICO,2018,14068.0,5.13
PACÍFICO,2019,14412.0,2.45
PALACIO,2016,9469.0,0.0
PALACIO,2018,9892.0,4.47
PALACIO,2019,10409.0,5.23
PALOMAS,2016,2850.0,0.0
PALOMAS,2018,2991.0,4.95
PALOMAS,2019,3066.0,2.51
PALOMERAS BAJAS,2016,5286.0,0.0
PALOMERAS BAJAS,2018,5604.0,6.02
PALOMERAS BAJAS,2019,5862.0,4.6
PALOMERAS SURESTE,2016,4293.0,0.0
PALOMERAS SURESTE,2018,4663.0,8.62
PALOMERAS SURESTE,2019,5013.0,7.51
PALOS DE MOGUER,2016,8968.0,0.0
PALOS DE MOGUER,2018,9778.0,9.03
PALOS DE MOGUER,2019,10182.0,4.13
PAVONES,2016,1731.0,0.0
PAVONES,2018,1816.0,4.91
PAVONES,2019,1884.0,3.74
PEÑAGRANDE,2016,13495.0,0.0
PEÑAGRANDE,2018,14193.0,5.17
PEÑAGRANDE,2019,14593.0,2.82
PILAR,2016,11478.0,0.0
PINAR DEL REY,2016,10752.0,0.0
PINAR DEL REY,2018,11405.0,6.07
PINAR DEL REY,2019,11947.0,4.75
PIOVERA,2016,6369.0,0.0
PIOVERA,2018,6799.0,6.75
PIOVERA,2019,6905.0,1.56
PORTAZGO,2016,2358.0,0.0
PORTAZGO,2018,2562.0,8.65
PORTAZGO,2019,2760.0,7.73
PRADOLONGO,2016,1409.0,0.0
PRADOLONGO,2018,1451.0,2.98
PRADOLONGO,2019,1509.0,4.0
PROSPERIDAD,2016,15236.0,0.0
PROSPERIDAD,2018,16214.0,6.42
PROSPERIDAD,2019,16602.0,2.39
PUEBLO NUEVO,2016,10591.0,0.0
PUEBLO NUEVO,2018,11486.0,8.45
PUEBLO NUEVO,2019,12251.0,6.66
PUERTA BONITA,2016,3845.0,0.0
PUERTA BONITA,2018,4273.0,11.13
PUERTA BONITA,2019,4540.0,6.25
PUERTA DEL ÁNGEL,2016,8110.0,0.0
PUERTA DEL ÁNGEL,2018,8808.0,8.61
PUERTA DEL ÁNGEL,2019,9268.0,5.22
QUINTANA,2016,5616.0,0.0
QUINTANA,2018,6037.0,7.5
QUINTANA,2019,6372.0,5.55
RECOLETOS,2016,8072.0,0.0
RECOLETOS,2018,8449.0,4.67
RECOLETOS,2019,8538.0,1.05
REJAS,2016,5034.0,0.0
REJAS,2018,5489.0,9.04
REJAS,2019,5709.0,4.01
ROSAS,2016,7856.0,0.0
ROSAS,2018,8156.0,3.82
ROSAS,2019,8403.0,3.03
RÍOS ROSAS,2016,12394.0,0.0
RÍOS ROSAS,2018,13082.0,5.55
RÍOS ROSAS,2019,13613.0,4.06
SALVADOR,2016,3975.0,0.0
SAN CRISTÓBAL,2016,720.0,0.0
SAN CRISTÓBAL,2018,824.0,14.44
SAN CRISTÓBAL,2019,884.0,7.28
SAN DIEGO,2016,3948.0,0.0
SAN DIEGO,2018,4383.0,11.02
SAN DIEGO,2019,4848.0,10.61
SAN FERMÍN,2016,2646.0,0.0
SAN FERMÍN,2018,2775.0,4.88
SAN FERMÍN,2019,2936.0,5.8
SAN ISIDRO,2016,5567.0,0.0
SAN ISIDRO,2018,6126.0,10.04
SAN ISIDRO,2019,6464.0,5.52
SAN JUAN BAUTISTA,2016,5352.0,0.0
SAN JUAN BAUTISTA,2018,5569.0,4.05
SAN JUAN BAUTISTA,2019,5710.0,2.53
SAN PASCUAL,2016,5746.0,0.0
SAN PASCUAL,2018,6035.0,5.03
SAN PASCUAL,2019,6157.0,2.02
SANTA EUGENIA,2016,4577.0,0.0
SANTA EUGENIA,2018,4819.0,5.29
SANTA EUGENIA,2019,4930.0,2.3
SIMANCAS,2016,5226.0,0.0
SIMANCAS,2018,5661.0,8.32
SIMANCAS,2019,6035.0,6.61
SOL,2016,3100.0,0.0
SOL,2018,3155.0,1.77
SOL,2019,3280.0,3.96
TIMÓN,2016,3018.0,0.0
TIMÓN,2018,3425.0,13.49
TIMÓN,2019,3696.0,7.91
TRAFALGAR,2016,11254.0,0.0
TRAFALGAR,2018,11915.0,5.87
TRAFALGAR,2019,12230.0,2.64
UNIVERSIDAD,2016,12970.0,0.0
UNIVERSIDAD,2018,13921.0,7.33
UNIVERSIDAD,2019,14902.0,7.05
