BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
BUENAVISTA,2016,18701.0,0.0
BUENAVISTA,2018,18444.0,-1.37
BUENAVISTA,2019,18338.0,-0.57
ABRANTES,2016,11176.0,0.0
ABRANTES,2018,11207.0,0.28
ABRANTES,2019,11639.0,3.85
ORCASITAS,2016,8136.0,0.0
ORCASITAS,2018,7928.0,-2.56
ORCASITAS,2019,7923.0,-0.06
ORCASUR,2016,5413.0,0.0
ORCASUR,2018,5508.0,1.76
ORCASUR,2019,5624.0,2.11
SAN FERMÍN,2016,9396.0,0.0
SAN FERMÍN,2018,9265.0,-1.39
SAN FERMÍN,2019,9388.0,1.33
ALMENDRALES,2016,8521.0,0.0
ALMENDRALES,2018,8773.0,2.96
ALMENDRALES,2019,8982.0,2.38
MOSCARDÓ,2016,10295.0,0.0
MOSCARDÓ,2018,10430.0,1.31
MOSCARDÓ,2019,10833.0,3.86
ZOFÍO,2016,5236.0,0.0
ZOFÍO,2018,5453.0,4.14
ZOFÍO,2019,5637.0,3.37
PRADOLONGO,2016,6962.0,0.0
PRADOLONGO,2018,7274.0,4.48
PRADOLONGO,2019,7458.0,2.53
ENTREVÍAS,2016,12586.0,0.0
ENTREVÍAS,2018,12768.0,1.45
ENTREVÍAS,2019,13206.0,3.43
SAN DIEGO,2016,17080.0,0.0
SAN DIEGO,2018,17551.0,2.76
SAN DIEGO,2019,18498.0,5.4
PALOMERAS BAJAS,2016,14709.0,0.0
PALOMERAS BAJAS,2018,15011.0,2.05
PALOMERAS BAJAS,2019,15264.0,1.69
PALOMERAS SURESTE,2016,16300.0,0.0
PALOMERAS SURESTE,2018,16159.0,-0.87
PALOMERAS SURESTE,2019,16359.0,1.24
PORTAZGO,2016,10371.0,0.0
PORTAZGO,2018,10520.0,1.44
PORTAZGO,2019,10776.0,2.43
NUMANCIA,2016,18683.0,0.0
NUMANCIA,2018,18792.0,0.58
NUMANCIA,2019,19234.0,2.35
PAVONES,2016,3266.0,0.0
PAVONES,2018,3103.0,-4.99
PAVONES,2019,3124.0,0.68
HORCAJO,2016,2310.0,0.0
HORCAJO,2018,2213.0,-4.2
HORCAJO,2019,2232.0,0.86
MARROQUINA,2016,9099.0,0.0
MARROQUINA,2018,8807.0,-3.21
MARROQUINA,2019,8737.0,-0.79
MEDIA LEGUA,2016,6106.0,0.0
MEDIA LEGUA,2018,5932.0,-2.85
MEDIA LEGUA,2019,5981.0,0.83
FONTARRÓN,2016,5764.0,0.0
FONTARRÓN,2018,5826.0,1.08
FONTARRÓN,2019,5986.0,2.75
VINATEROS,2016,5569.0,0.0
