BARRIOS,RENTA_MEDIA,ANIO,PORCENTAJE_EVOLUCION
LOS CÁRMENES,29540.96,2018,6.94
LOS CÁRMENES,25530.03,2019,-13.58
LOS ROSALES,27157.83,2016,0.0
LOS ROSALES,28416.05,2018,4.63
LOS ROSALES,28679.35,2019,0.93
LOS ÁNGELES,27544.2,2016,0.0
LOS ÁNGELES,28062.43,2018,1.88
LOS ÁNGELES,28412.97,2019,1.25
LUCERO,29069.14,2016,0.0
LUCERO,30075.71,2018,3.46
LUCERO,30371.4,2019,0.98
MARROQUINA,39432.62,2016,0.0
MARROQUINA,40428.41,2018,2.53
MARROQUINA,40061.39,2019,-0.91
MEDIA LEGUA,34725.94,2016,0.0
MEDIA LEGUA,35438.87,2018,2.05
MEDIA LEGUA,35922.08,2019,1.36
MIRASIERRA,73487.09,2016,0.0
MIRASIERRA,78328.1,2018,6.59
MIRASIERRA,69353.14,2019,-11.46
MOSCARDÓ,25745.47,2016,0.0
MOSCARDÓ,26358.16,2018,2.38
MOSCARDÓ,25753.38,2019,-2.29
NIÑO JESÚS,65003.19,2016,0.0
NIÑO JESÚS,69100.16,2018,6.3
NIÑO JESÚS,68049.0,2019,-1.52
NUEVA ESPAÑA,73269.88,2016,0.0
NUEVA ESPAÑA,80248.39,2018,9.52
NUEVA ESPAÑA,73422.83,2019,-8.51
NUMANCIA,23773.91,2016,0.0
NUMANCIA,24872.54,2018,4.62
NUMANCIA,25086.17,2019,0.86
OPAÑEL,27099.88,2016,0.0
OPAÑEL,28031.48,2018,3.44
OPAÑEL,28304.78,2019,0.97
ORCASITAS,25968.57,2016,0.0
ORCASITAS,26857.94,2018,3.42
ORCASITAS,25064.37,2019,-6.68
ORCASUR,23197.56,2016,0.0
ORCASUR,24995.87,2018,7.75
ORCASUR,25998.22,2019,4.01
PACÍFICO,39953.74,2016,0.0
PACÍFICO,41948.89,2018,4.99
PACÍFICO,36935.0,2019,-11.95
PALACIO,31912.67,2016,0.0
PALACIO,34675.85,2018,8.66
PALACIO,35509.21,2019,2.4
PALOMAS,75672.59,2016,0.0
PALOMAS,81736.55,2018,8.01
PALOMAS,82127.24,2019,0.48
PALOMERAS BAJAS,27649.78,2016,0.0
PALOMERAS BAJAS,28754.31,2018,3.99
PALOMERAS BAJAS,29095.18,2019,1.19
PALOMERAS SURESTE,25372.48,2016,0.0
PALOMERAS SURESTE,26632.09,2018,4.96
PALOMERAS SURESTE,27256.87,2019,2.35
PALOS DE MOGUER,32028.7,2016,0.0
PALOS DE MOGUER,33938.37,2018,5.96
PALOS DE MOGUER,34649.63,2019,2.1
PAVONES,33133.7,2016,0.0
PAVONES,34024.52,2018,2.69
PAVONES,34086.3,2019,0.18
PEÑAGRANDE,39527.24,2016,0.0
PEÑAGRANDE,45508.06,2018,15.13
PEÑAGRANDE,46484.1,2019,2.14
PILAR,32912.29,2016,0.0
PINAR DEL REY,32811.45,2016,0.0
PINAR DEL REY,33701.43,2018,2.71
PINAR DEL REY,33796.32,2019,0.28
PIOVERA,100792.47,2016,0.0
PIOVERA,97253.64,2018,-3.51
PIOVERA,81087.93,2019,-16.62
PORTAZGO,22832.92,2016,0.0
PORTAZGO,23824.7,2018,4.34
PORTAZGO,24110.06,2019,1.2
PRADOLONGO,21814.32,2016,0.0
PRADOLONGO,23173.87,2018,6.23
PRADOLONGO,31306.01,2019,35.09
PROSPERIDAD,41623.79,2016,0.0
PROSPERIDAD,43701.52,2018,4.99
PROSPERIDAD,44699.41,2019,2.28
PUEBLO NUEVO,29101.19,2016,0.0
PUEBLO NUEVO,30038.96,2018,3.22
PUEBLO NUEVO,30457.92,2019,1.39
PUERTA BONITA,24636.68,2016,0.0
PUERTA BONITA,25725.19,2018,4.42
PUERTA BONITA,26011.61,2019,1.11
PUERTA DEL ÁNGEL,26531.92,2016,0.0
PUERTA DEL ÁNGEL,27913.63,2018,5.21
PUERTA DEL ÁNGEL,28421.21,2019,1.82
QUINTANA,29520.05,2016,0.0
QUINTANA,30421.56,2018,3.05
QUINTANA,30692.21,2019,0.89
RECOLETOS,78534.94,2016,0.0
RECOLETOS,84705.72,2018,7.86
RECOLETOS,79736.56,2019,-5.87
REJAS,36235.8,2016,0.0
REJAS,38202.73,2018,5.43
REJAS,31684.0,2019,-17.06
ROSAS,41383.49,2016,0.0
ROSAS,43369.47,2018,4.8
ROSAS,31866.0,2019,-26.52
RÍOS ROSAS,45063.93,2016,0.0
RÍOS ROSAS,47955.28,2018,6.42
RÍOS ROSAS,49812.69,2019,3.87
SALVADOR,50342.19,2016,0.0
SAN CRISTÓBAL,18121.61,2016,0.0
SAN CRISTÓBAL,19587.09,2018,8.09
SAN CRISTÓBAL,19859.26,2019,1.39
SAN DIEGO,20108.01,2016,0.0
SAN DIEGO,21224.79,2018,5.55
SAN DIEGO,21337.94,2019,0.53
SAN FERMÍN,24201.51,2016,0.0
SAN FERMÍN,25440.25,2018,5.12
SAN FERMÍN,25886.79,2019,1.76
SAN ISIDRO,25021.24,2016,0.0
SAN ISIDRO,26282.72,2018,5.04
SAN ISIDRO,26487.13,2019,0.78
SAN JUAN BAUTISTA,53815.5,2016,0.0
SAN JUAN BAUTISTA,56198.19,2018,4.43
SAN JUAN BAUTISTA,57428.84,2019,2.19
SAN PASCUAL,41145.24,2016,0.0
SAN PASCUAL,42449.95,2018,3.17
SAN PASCUAL,43132.76,2019,1.61
SANTA EUGENIA,35152.02,2016,0.0
SANTA EUGENIA,36426.58,2018,3.63
SANTA EUGENIA,36865.02,2019,1.2
SIMANCAS,29510.17,2016,0.0
SIMANCAS,31368.08,2018,6.3
SIMANCAS,24038.54,2019,-23.37
SOL,27377.52,2016,0.0
SOL,30935.8,2018,13.0
SOL,31684.0,2019,2.42
TIMÓN,38646.91,2016,0.0
TIMÓN,40271.04,2018,4.2
TIMÓN,41584.0,2019,3.26
TRAFALGAR,38017.92,2016,0.0
TRAFALGAR,41126.22,2018,8.18
TRAFALGAR,42776.92,2019,4.01
UNIVERSIDAD,28782.54,2016,0.0
UNIVERSIDAD,30701.65,2018,6.67
UNIVERSIDAD,31866.0,2019,3.79
VALDEACEDERAS,26847.5,2016,0.0
VALDEACEDERAS,28242.05,2018,5.19
VALDEACEDERAS,28693.65,2019,1.6
VALDEBERNARDO,39388.66,2019,0.0
VALDEFUENTES,52532.14,2016,0.0
VALDEFUENTES,55975.15,2018,6.55
VALDEFUENTES,53809.73,2019,-3.87
VALDEMARÍN,106640.85,2016,0.0
VALDEMARÍN,112320.75,2018,5.33
VALDEMARÍN,88034.93,2019,-21.62
VALDERRIVAS,40053.4,2019,0.0
VALDEZARZA,34027.56,2016,0.0
VALDEZARZA,34996.93,2018,2.85
VALDEZARZA,35550.04,2019,1.58
VALLEHERMOSO,56802.09,2016,0.0
VALLEHERMOSO,59458.58,2018,4.68
VALLEHERMOSO,58449.46,2019,-1.7
VALVERDE,39314.86,2016,0.0
VALVERDE,42537.25,2018,8.2
VALVERDE,43897.87,2019,3.2
VENTAS,27598.9,2016,0.0
VENTAS,28196.62,2018,2.17
VENTAS,26743.71,2019,-5.15
VINATEROS,28551.22,2016,0.0
VINATEROS,29156.12,2018,2.12
VINATEROS,29493.0,2019,1.16
VISTA ALEGRE,26875.76,2016,0.0
VISTA ALEGRE,27788.21,2018,3.4
VISTA ALEGRE,28128.12,2019,1.22
ZOFÍO,24556.05,2016,0.0
ZOFÍO,25498.38,2018,3.84
ZOFÍO,23478.69,2019,-7.92
